        size,          ops,         time,      op/time
        1024,    156250000,     0.128462,  1.21631e+09
        2048,    156249984,     0.122964,   1.2707e+09
        3072,    156249984,     0.121117,  1.29007e+09
        4096,    156249984,     0.120198,  1.29994e+09
        5120,    156250000,     0.135064,  1.15686e+09
        6144,    156249984,     0.132121,  1.18263e+09
        7168,    156249968,     0.130049,  1.20147e+09
        8192,    156249984,     0.128454,  1.21639e+09
        9216,    156249936,     0.126817,  1.23209e+09
       10240,    156249920,     0.126244,  1.23768e+09
       11264,    156249984,     0.125455,  1.24547e+09
       12288,    156249984,     0.124786,  1.25214e+09
       13312,    156249808,     0.124773,  1.25227e+09
       14336,    156249856,     0.123725,  1.26288e+09
       15360,    156249840,     0.123108,  1.26921e+09
       16384,    156249856,     0.124024,  1.25984e+09
       17408,    156249856,     0.122405,   1.2765e+09
       18432,    156249792,     0.122125,  1.27943e+09
       19456,    156249920,     0.122338,   1.2772e+09
       20480,    156249920,     0.122030,  1.28042e+09
       21504,    156249744,     0.121649,  1.28443e+09
       22528,    156249984,     0.121458,  1.28645e+09
       23552,    156249856,     0.121172,  1.28949e+09
       24576,    156249984,     0.121147,  1.28976e+09
       25600,    156250000,     0.120989,  1.29144e+09
       26624,    156249600,     0.120847,  1.29295e+09
       27648,    156249648,     0.120753,  1.29396e+09
       28672,    156249856,     0.121011,   1.2912e+09
       29696,    156249680,     0.120536,  1.29629e+09
       30720,    156249600,     0.120447,  1.29725e+09
       31744,    156249920,     0.120390,  1.29786e+09
       32768,    156249600,     0.120778,  1.29369e+09
       33792,    156249984,     0.161016,    9.704e+08
       34816,    156249856,     0.228563,  6.83618e+08
       35840,    156249520,     0.288521,  5.41553e+08
       36864,    156249792,     0.354153,  4.41193e+08
       37888,    156249520,     0.359317,  4.34851e+08
       38912,    156249920,     0.353198,  4.42386e+08
       39936,    156249600,     0.358691,  4.35611e+08
       40960,    156249600,     0.358398,  4.35967e+08
       41984,    156249360,     0.360629,  4.33269e+08
       43008,    156249408,     0.353909,  4.41496e+08
       44032,    156249616,     0.355032,    4.401e+08
       45056,    156249984,     0.357168,  4.37469e+08
       46080,    156249360,     0.361701,  4.31985e+08
       47104,    156249856,     0.366355,  4.26498e+08
       48128,    156249808,     0.355449,  4.39584e+08
       49152,    156249600,     0.355446,  4.39587e+08
       50176,    156249632,     0.360186,  4.33803e+08
       51200,    156249600,     0.366528,  4.26296e+08
       52224,    156249312,     0.358139,  4.36281e+08
       53248,    156249600,     0.363221,  4.30178e+08
       54272,    156249936,     0.362009,  4.31619e+08
       55296,    156249216,     0.361646,   4.3205e+08
       56320,    156249280,     0.361983,  4.31648e+08
       57344,    156249856,     0.376302,  4.15225e+08
       58368,    156249312,     0.362800,  4.30676e+08
       59392,    156249216,     0.358461,  4.35889e+08
       60416,    156249936,     0.368833,  4.23633e+08
       61440,    156249600,     0.361474,  4.32257e+08
       62464,    156249792,     0.363084,  4.30341e+08
       63488,    156249920,     0.358605,  4.35716e+08
       64512,    156249072,     0.367979,  4.24614e+08
       65536,    156249088,     0.356384,  4.38429e+08
       66560,    156249600,     0.361167,  4.32624e+08
       67584,    156249984,     0.364652,  4.28491e+08
       68608,    156249360,     0.361765,  4.31908e+08
       69632,    156249856,     0.358232,  4.36169e+08
       70656,    156249120,     0.360916,  4.32924e+08
       71680,    156248960,     0.362605,  4.30907e+08
       72704,    156249984,     0.362352,   4.3121e+08
       73728,    156249216,     0.363631,  4.29692e+08
       74752,    156249200,     0.369732,  4.22601e+08
       75776,    156248928,     0.369617,  4.22732e+08
       76800,    156249600,     0.363785,  4.29511e+08
       77824,    156249920,     0.364269,  4.28941e+08
       78848,    156249632,     0.366430,  4.26411e+08
       79872,    156249600,     0.367672,   4.2497e+08
       80896,    156249360,     0.363260,  4.30131e+08
