        size,          ops,         time,      time/op
           2,      5120000,     0.003881,  7.58008e-10
           4,      5120000,     0.003909,  7.63477e-10
           6,      5119980,     0.004018,  7.84769e-10
           8,      5120000,     0.004319,  8.43555e-10
          10,      5120000,     0.004800,    9.375e-10
          12,      5119920,     0.005247,  1.02482e-09
          14,      5119940,     0.005782,  1.12931e-09
          16,      5120000,     0.006434,  1.25664e-09
          18,      5119920,     0.006878,  1.34338e-09
          20,      5120000,     0.007209,  1.40801e-09
          22,      5119840,     0.007558,  1.47622e-09
          24,      5119920,     0.007960,  1.55471e-09
          26,      5119920,     0.008235,  1.60842e-09
          28,      5119800,     0.008797,  1.71823e-09
          30,      5119800,     0.009076,  1.77273e-09
          32,      5120000,     0.009650,  1.88477e-09
          34,      5119720,     0.009794,    1.913e-09
          36,      5119920,     0.010581,  2.06663e-09
          38,      5119740,     0.011166,  2.18097e-09
          40,      5120000,     0.011676,  2.28047e-09
          42,      5119800,     0.012499,  2.44131e-09
          44,      5119840,     0.013105,  2.55965e-09
          46,      5119800,     0.013537,  2.64405e-09
          48,      5119680,     0.014096,   2.7533e-09
          50,      5120000,     0.015684,  3.06328e-09
          52,      5119920,     0.015099,  2.94907e-09
          54,      5119740,     0.015965,  3.11832e-09
          56,      5119520,     0.016388,  3.20108e-09
          58,      5119660,     0.017061,  3.33245e-09
          60,      5119800,     0.018062,  3.52787e-09
          62,      5119960,     0.018327,  3.57952e-09
          64,      5120000,     0.018517,   3.6166e-09
          66,      5119620,     0.019024,   3.7159e-09
          68,      5119720,     0.018851,  3.68204e-09
          70,      5119800,     0.018269,   3.5683e-09
          72,      5119920,     0.018097,  3.53463e-09
          74,      5119320,     0.017933,    3.503e-09
          76,      5119360,     0.017863,   3.4893e-09
          78,      5119920,     0.017511,  3.42017e-09
          80,      5120000,     0.017203,  3.35996e-09
          82,      5119260,     0.016950,  3.31103e-09
          84,      5119800,     0.016725,  3.26673e-09
          86,      5119580,     0.016808,  3.28308e-09
          88,      5119840,     0.016620,   3.2462e-09
          90,      5119200,     0.016315,  3.18702e-09
          92,      5119800,     0.016161,  3.15657e-09
          94,      5119240,     0.016096,  3.14422e-09
          96,      5119680,     0.015837,  3.09336e-09
          98,      5119520,     0.017256,  3.37063e-09
         100,      5120000,     0.015550,  3.03711e-09
         102,      5119380,     0.015831,  3.09237e-09
         104,      5119920,     0.015237,  2.97602e-09
         106,      5119800,     0.015265,  2.98156e-09
         108,      5119200,     0.014817,   2.8944e-09
         110,      5119400,     0.014821,  2.89507e-09
         112,      5119520,     0.014621,  2.85593e-09
         114,      5119740,     0.014478,  2.82788e-09
         116,      5119080,     0.014548,  2.84192e-09
         118,      5118840,     0.014456,  2.82408e-09
         120,      5119200,     0.014292,  2.79184e-09
         122,      5119120,     0.014176,  2.76923e-09
         124,      5119960,     0.014091,  2.75217e-09
         126,      5119380,     0.014218,  2.77729e-09
         128,      5120000,     0.019411,  3.79121e-09
         130,      5119400,     0.014004,  2.73548e-09
         132,      5118960,     0.013968,  2.72868e-09
         134,      5118800,     0.013862,  2.70806e-09
         136,      5119040,     0.014046,  2.74387e-09
         138,      5119800,     0.013882,  2.71143e-09
         140,      5119800,     0.013930,  2.72081e-09
         142,      5119100,     0.013852,  2.70594e-09
         144,      5119200,     0.013661,  2.66858e-09
         146,      5118760,     0.013603,  2.65748e-09
         148,      5119320,     0.013569,  2.65055e-09
         150,      5119500,     0.013631,  2.66256e-09
         152,      5119360,     0.013727,  2.68139e-09
         154,      5118960,     0.013550,  2.64702e-09
         156,      5119920,     0.013547,  2.64594e-09
         158,      5119200,     0.013742,   2.6844e-09
         160,      5120000,     0.013724,  2.68047e-09
         162,      5119200,     0.013478,  2.63283e-09
         164,      5118440,     0.013420,  2.62189e-09
         166,      5119440,     0.013365,  2.61064e-09
         168,      5118960,     0.013406,  2.61889e-09
         170,      5118700,     0.013353,  2.60867e-09
         172,      5118720,     0.013246,  2.58776e-09
         174,      5119080,     0.013117,  2.56237e-09
         176,      5119840,     0.013036,  2.54617e-09
         178,      5119280,     0.013388,  2.61521e-09
         180,      5119200,     0.013212,  2.58087e-09
         182,      5119660,     0.012999,  2.53904e-09
         184,      5118880,     0.013103,  2.55974e-09
         186,      5118720,     0.012605,  2.46253e-09
         188,      5119240,     0.013056,  2.55038e-09
         190,      5118600,     0.012788,  2.49834e-09
         192,      5118720,     0.012189,  2.38126e-09
         194,      5119660,     0.012894,  2.51853e-09
         196,      5119520,     0.013001,   2.5395e-09
         198,      5118300,     0.012917,  2.52369e-09
         200,      5120000,     0.012519,  2.44512e-09
         202,      5118680,     0.012970,  2.53386e-09
         204,      5118360,     0.012487,  2.43965e-09
         206,      5119100,     0.012416,  2.42543e-09
         208,      5118880,     0.012129,  2.36946e-09
         210,      5119800,     0.012193,  2.38154e-09
         212,      5119800,     0.012165,  2.37607e-09
         214,      5118880,     0.012328,  2.40834e-09
         216,      5119200,     0.012575,  2.45644e-09
         218,      5118640,     0.012265,  2.39614e-09
         220,      5119400,     0.012107,  2.36493e-09
         222,      5119320,     0.012121,   2.3677e-09
         224,      5118400,     0.012514,   2.4449e-09
         226,      5118900,     0.012533,  2.44838e-09
         228,      5118600,     0.012376,  2.41785e-09
         230,      5119800,     0.012192,  2.38134e-09
         232,      5117920,     0.012096,  2.36346e-09
         234,      5119920,     0.012112,  2.36566e-09
         236,      5118840,     0.012137,  2.37105e-09
         238,      5119380,     0.012176,  2.37841e-09
         240,      5119200,     0.012271,  2.39705e-09
         242,      5118300,     0.012341,  2.41115e-09
         244,      5119120,     0.012194,  2.38205e-09
         246,      5119260,     0.012091,  2.36186e-09
         248,      5118720,     0.012100,  2.36387e-09
         250,      5120000,     0.012083,  2.35996e-09
         252,      5118120,     0.012074,  2.35907e-09
         254,      5118100,     0.012280,  2.39933e-09
         256,      5120000,     0.018476,  3.60859e-09
